Project,ID,Name,Status,Power State,Networks,Flavor Name,Host,CPU,RAM
DDB-Development,f311bd46-3ce7-44e7-8113-967f2215631f,rgn-database-ceria-ms-repayment-dev-01,ACTIVE,Running,"briapi-database-1-dev-net=10.0.11.17, 172.18.224.28",c2-standard-2-1s,gti-r01-oscompute-05,2,4G
DDB-Development,85951ba1-d941-4d68-a9e6-529eaa89775b,briapi-apigee-qpid_psql-dev-1,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.18,c2-standard-2-1s,gti-r01-oscompute-09,2,4G
DDB-Development,66a322fc-b6c4-4d84-8839-f0c6d51dbf25,briapi-apigee-qpid_psql-dev-2,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.19,c2-standard-2-1s,gti-r01-oscompute-09,2,4G
DDB-Development,80c28a44-11ed-4033-a601-32b9392727d6,briapi-apigee-cas_zoo-dev-1,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.15,c2-standard-8-1s,gti-r01-oscompute-09,8,16G
DDB-Development,926c21d9-eade-45d0-ae13-05bf112705b3,gti-dev-k8s-master-01,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.130, 172.18.224.208",k9-standard-m1-1s,gti-r01-oscompute-09,8,16G
DDB-Development,129f72a4-283e-4b30-b2a0-b2271cdbc4e6,briapiops-apigee-haproxy-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.34, 172.18.224.244",c2-standard-8-1s,gti-r01-oscompute-10,8,16G
DDB-Development,1c23b29e-1c83-4483-a98b-9dbafda65e20,monitoring-pmm-03,ACTIVE,Running,devops-backend-1-dev-net=10.0.1.24,c2-standard-2-1s,gti-r02-oscompute-15,2,4G
DDB-Development,d6a6b90b-68ac-4055-9a98-7b7f8156e62b,briapi-apigee-router-dev-1,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.223,c2-standard-8-1s,gti-r02-oscompute-17,8,16G
DDB-Development,91d9edb2-3407-4dfc-bf06-386b10e9a643,devops-service-proxy-01,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.52, 172.18.224.75",c2-standard-2-1s,gti-r02-oscompute-17,2,4G
DDB-Development,0d86fe49-690f-4472-8c16-d62b0dd5dd3e,briapi-apigee-portalapp-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.20, 172.18.224.165",c2-standard-2-1s,gti-r02-oscompute-18,2,4G
DDB-Development,e9fc3a03-9448-4462-acc7-c87b2ba35a73,briapi-apigee-portaldb-dev-1,ACTIVE,Running,briapi-database-1-dev-net=10.0.11.11,c2-standard-2-1s,gti-r02-oscompute-18,2,4G
DDB-Development,5ce52ef3-d23a-46ad-9030-3ca1a461c1b5,briapiops-apigee-portalapp-dev-1,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.33,c2-standard-8,gti-r02-oscompute-18,8,16G
DDB-Development,7b3006a9-7748-4387-88ea-8af4d8e9aced,briapi-apigee-emo-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.14, 172.18.224.117",c2-standard-8-1s,gti-r02-oscompute-20,8,16G
DDB-Development,c274f1f6-9582-4c22-9406-6139deb9f3d2,briapi-apigee-emo-dev-2,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.115, 172.18.224.220",c2-standard-8-1s,gti-r02-oscompute-20,8,16G
DDB-Development,06b883ca-61c8-4f91-9e55-122e48e02817,dboard-simpedes-db-mysql-dev-1,ACTIVE,Running,"digitalbank-database-1-dev-net=10.0.30.60, 172.18.224.193",c2-standard-4-1s,gti-r02-oscompute-20,4,8G
DDB-Development,162268e4-c03c-4fea-9f02-7f44de47d3a6,ceria-minio-2,ACTIVE,Running,ceria-backend-1-dev-net=10.0.5.206,c2-standard-4-1s,gti-r02-oscompute-21,4,8G
DDB-Development,dacb23e2-1efc-43f4-8de6-f2ce7482553f,briapi-apigee-mp-dev-2,ACTIVE,Running,briapi-backend-1-dev-net=10.0.10.12,c2-standard-8-1s,gti-r03-oscompute-26,8,16G
DDB-Development,e32eca15-68e6-42e9-a117-f672f65293cc,matttracker-db-mysql-dev-1,ACTIVE,Running,"devops-database-dev-net=10.0.16.29, 172.18.224.8",c2-standard-4-1s,gti-r03-oscompute-26,4,8G
DDB-Development,8ca9b5dc-9c99-4729-849d-546867790f11,minio-ms-valas-nego-api,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.156, 172.18.224.55",c2-standard-4-1s,gti-r03-oscompute-27,4,8G
DDB-Development,050128e5-5214-43ec-a6f7-af90e1f00094,klusterkuhidupku-web-1,ACTIVE,Running,"clusterkuhidupku-backend-1-dev-net=10.0.24.51, 172.18.224.251",c2-standard-4-1s,gti-r03-oscompute-27,4,8G
DDB-Development,a4415f25-2a6d-4566-8104-027040ce2712,sabrina-whatsapp-db-mysql-1,ACTIVE,Running,"sabrina-database-1-dev-net=10.0.21.222, 172.18.224.202",c2-standard-4-1s,gti-r03-oscompute-28,4,8G
DDB-Development,ba1e91b5-ad8c-4f68-b032-27ab4ab4a408,devops-k8s-lb-ingress-01,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.61, 172.18.224.233",m1.large-1s,gti-r03-oscompute-28,4,4G
DDB-Development,c5b1168a-4c8f-4576-9011-4a1b6fb78ccc,sabrina-dbchatbot-1,ACTIVE,Running,"sabrina-database-1-dev-net=10.0.21.193, 172.18.224.210",c2-standard-8-1s,gti-r03-oscompute-28,8,16G
DDB-Development,2853edfd-aac3-4b15-a654-5efa05ef133c,sabrina-appchatbot-1,ACTIVE,Running,"sabrina-backend-1-dev-net=10.0.18.132, 172.18.224.14",c2-standard-8-1s,gti-r03-oscompute-28,8,16G
DDB-Development,a77154e8-b2c1-4c8a-a86f-f08b26c9da90,sabrina-webchatbot-1,ACTIVE,Running,"sabrina-frontend-1-dev-net=10.0.19.158, 172.18.224.68",c2-standard-8-1s,gti-r03-oscompute-28,8,16G
DDB-Development,43033ae8-77e6-4699-abcd-d4c3551f6580,devops-ceria-redis-dummy-automation-cluster03-2,ACTIVE,Running,devops-database-dev-net=10.0.16.19,m1.small-1s,gti-r03-oscompute-29,1,1G
DDB-Development,807ed450-f89f-45e3-bafd-89c733879199,bridguna-redis-1,ACTIVE,Running,"ceria-database-1-dev-net=10.0.8.240, 172.18.224.105",c2-standard-2,gti-r03-oscompute-29,2,4G
DDB-Development,a569a721-b295-4e79-b9a7-275de87a871f,devops-ceria-redis-dummy-automation-cluster01-2,ACTIVE,Running,devops-database-dev-net=10.0.16.136,m1.small-1s,gti-r03-oscompute-30,1,1G
DDB-Development,7b1d6163-4627-4b3e-a841-219a6f3696fc,briapi-snapbi_log_db-postgresql-1,ACTIVE,Running,"briapi-database-1-dev-net=10.0.11.104, 172.18.224.184",c2-standard-2-1s,gti-r03-oscompute-30,2,4G
DDB-Development,39f2a676-d22c-4310-ac5a-2499bf0eaa11,briapiops-apigee-router-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.25, 172.18.224.29",c2-standard-8,gti-r03-oscompute-30,8,16G
DDB-Development,5fd28710-9162-4434-8372-e7282def5b9e,briapi-apigee-management-1,ACTIVE,Running,Dev-Net=172.18.224.146,c2-standard-8-1s,gti-r03-oscompute-31,8,16G
DDB-Development,324d369a-6000-4013-8a13-0c4e24f898bc,briapiops-apigee-mp-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.27, 172.18.224.57",c2-standard-8,gti-r03-oscompute-31,8,16G
DDB-Development,cf48e784-b59e-4f7d-acb0-7957dfe210ab,briapiops-apigee-qpid_psql-dev-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.31, 172.18.224.82",c2-standard-8,gti-r03-oscompute-31,8,16G
DDB-Development,8ef4f985-d527-442d-bbe3-a3d8fe990a3a,briapi-redis-snap-bi-1,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.43, 172.18.224.143",c2-standard-2-1s,gti-r03-oscompute-32,2,4G
DDB-Development,7278a433-4b90-4bc9-8709-03a59ba40f3e,ceria-nifi-dev-2,ACTIVE,Running,ceria-database-1-dev-net=10.0.8.45,ceria-nifi-8-8,gti-r03-oscompute-32,8,8G
DDB-Development,5c73af73-9b07-4113-a11e-bcf13a28cb53,briapiops-apigee-mp-dev-3,ACTIVE,Running,"briapi-backend-1-dev-net=10.0.10.236, 172.18.224.206",c2-standard-8,gti-r03-oscompute-32,8,16G
DDB-Development,08930170-3447-434b-b0e3-3cd001c65de9,devops-k8s-nfs-1,ACTIVE,Running,devops-backend-1-dev-net=10.0.1.128,n2-standard-2,gti-r03-oscompute-32,2,8G
DDB-Development,ab1443a3-e6ab-4544-a522-c3e0d6345fd3,cbm-rabbitmq-dev-1,ACTIVE,Running,"cbm-dev-1-net=10.0.20.68, 172.18.224.154",c2-standard-2-1s,gti-r03-oscompute-33,2,4G
DDB-Development,0822b621-b2f4-4b1e-8b8d-618e993414c3,cbm-lb-db-percona-dev,ACTIVE,Running,"cbm-dev-1-net=10.0.20.173, 172.18.224.214",n2-standard-4-1s,gti-r03-oscompute-33,4,16G
DDB-Development,8f3ea64b-ce16-460b-b50d-9279083ff643,cbm-db-percona-dev-1,ACTIVE,Running,cbm-dev-1-net=10.0.20.234,n2-standard-4-1s,gti-r03-oscompute-33,4,16G
DDB-Development,b0993111-c2a8-4700-86f3-d6d6f378e2c7,monitoring-elk-dev-4,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.188, 172.18.224.104",n2-standard-2-1s,gti-r03-oscompute-33,2,8G
DDB-Development,787a0397-a30f-495c-95d7-658cfcb73822,monitoring-elk-dev-3,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.129, 172.18.224.87",n2-standard-2-1s,gti-r03-oscompute-33,2,8G
DDB-Development,dcbb5210-9b1d-42bf-9824-3fa5ace9ad86,monitoring-elk-dev-2,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.89, 172.18.224.84",n2-standard-2-1s,gti-r03-oscompute-33,2,8G
DDB-Development,7034f95c-2c19-483f-8344-dd9c07f5b44f,monitoring-elk-dev-1,ACTIVE,Running,"devops-backend-1-dev-net=10.0.1.201, 172.18.224.83",n2-standard-2-1s,gti-r03-oscompute-33,2,8G
DDB-Development,1e5c94d8-c4e4-48b8-a86b-d22e21d7340b,gti-dev-nfs,ACTIVE,Running,devops-backend-1-dev-net=10.0.1.137,k9-standard-8-32,gti-r03-oscompute-33,8,32G
DDB-Staging,4afc637d-fdfb-4bfa-9e74-7e4dcc5c089f,fe-ppid-mobile,ACTIVE,,"website-frontend-1-net=10.21.0.215, 172.18.221.233",,gti-r01-oscompute-04,4,4G
DDB-Staging,e7dccd89-2981-419e-8bfd-ed4eb18f423f,bribrain-lb-db-percona,ACTIVE,,"devops-backend-1-net=10.40.1.100, 172.18.221.177",,gti-r01-oscompute-04,4,8G
DDB-Staging,2fc5e068-cde1-422e-9c88-e3554f732a47,cbm-db-percona-staging-3,ACTIVE,,cbm-database-staging-1-net=10.40.12.214,,gti-r01-oscompute-07,4,16G
DDB-Staging,391a6fd2-829f-4310-9875-8c04b5cb0e6a,umi-mongo-db-staging-3,ACTIVE,,umi-database-1=10.40.5.199,,gti-r01-oscompute-07,8,16G
DDB-Staging,33f55990-4110-4364-9327-279c06a9909a,brimola-db-mysql-1,ACTIVE,,"brimola-database-1-staging-net=10.30.14.188, 172.18.221.145",,gti-r01-oscompute-07,8,16G
DDB-Staging,830a9bf7-3c04-4def-a591-cc823e8abdff,briapi-lb-postgresql-staging-1,ACTIVE,,"briapi-database-1-net=10.40.4.178, 172.18.221.61",,gti-r01-oscompute-08,2,4G
DDB-Staging,7db76f30-a913-4ce3-bafe-372ebc24c5c7,briguna-redis-staging-1,ACTIVE,,ceria-database-1-net=10.40.10.146,,gti-r01-oscompute-09,2,4G
DDB-Staging,3867da3d-befc-4214-8c39-2687596ee456,ceria-minio-4,ACTIVE,,ceria-database-1-net=10.40.10.186,,gti-r01-oscompute-09,4,8G
DDB-Staging,88e4cb7d-03b6-4d79-849a-1037c2b0b96d,bribrain-db-percona-2,ACTIVE,,devops-backend-1-net=10.40.1.3,,gti-r01-oscompute-10,2,4G
DDB-Staging,aeb69cd6-24ca-4926-863e-701152a5e937,bribrain-db-percona-1,ACTIVE,,"devops-backend-1-net=10.40.1.210, 172.18.221.192",,gti-r01-oscompute-10,2,4G
DDB-Staging,3f8d8bfc-5631-4f2a-885c-e1bb9458f25d,cbm-db-percona-staging-2,ACTIVE,,cbm-database-staging-1-net=10.40.12.84,,gti-r01-oscompute-10,4,16G
DDB-Staging,0e6bdf72-1968-469d-8f54-49ba4db27aad,cbm-db-percona-staging-1,ACTIVE,,cbm-database-staging-1-net=10.40.12.28,,gti-r01-oscompute-10,4,16G
DDB-Staging,a71158fb-3441-4ec3-b3f9-7de8a0cdefc0,k8s-worker-1-stg,ACTIVE,,devops-backend-1-net=10.40.1.7,,gti-r01-oscompute-10,16,32G
DDB-Staging,40f0caae-5707-460e-a84b-ff8ab35de4c3,ceria-umi-db-postgres-staging-3,ACTIVE,,umi-database-1=10.40.5.101,,gti-r01-oscompute-10,8,16G
DDB-Staging,2acc1e7c-0ce2-4a23-97c2-7b828ce2e8a0,briapi-db-edb-staging-2,ACTIVE,,Prod-Net=172.18.221.24; briapi-database-1-net=10.40.4.193,,gti-r01-oscompute-11,8,32G
DDB-Staging,17b8df15-dbba-44b1-8890-daae1aabdb87,ceria-briguna-db-staging-1,ACTIVE,,"ceria-database-1-net=10.40.10.187, 172.18.221.176",,gti-r01-oscompute-11,2,4G
DDB-Staging,24153675-c062-49ac-81f1-24da34a0154b,keceku-redis-1,ACTIVE,,ceria-database-1-net=10.40.10.159,,gti-r01-oscompute-11,2,4G
DDB-Staging,15eec42b-2175-4499-acea-a829b8b9041b,k8s-master-03,ACTIVE,,devops-backend-1-net=10.40.1.103,,gti-r01-oscompute-11,8,16G
DDB-Staging,6f5f9b8a-4c58-4fe7-9008-0669d639d23d,cbm-lb-db-percona-staging,ACTIVE,,"cbm-database-staging-1-net=10.40.12.211, 172.18.221.119",,gti-r02-oscompute-14,2,4G
DDB-Staging,58d20d35-be2c-4634-a808-7e1051b0133c,klasterku-db-redis-3,ACTIVE,,klasterku-database-network=10.40.13.76,,gti-r02-oscompute-14,4,8G
DDB-Staging,a2f20c34-d5de-43c5-bef5-df2ba2f787b3,ceria-finacle-db-01,ACTIVE,,"devops-database-1-net=10.40.2.9, 172.18.221.181",,gti-r02-oscompute-15,4,8G
DDB-Staging,a1e84b91-0229-4d18-9d32-d7d094a8e60b,ceria-finacle-dashboard-01,ACTIVE,,"devops-frontend-1-net=10.40.0.155, 172.18.221.201",,gti-r02-oscompute-15,4,8G
DDB-Staging,df674b92-a92e-4e65-9271-905b93ffe56e,devops-pem-staging-1,ACTIVE,,Prod-Net=172.18.221.193; briapi-database-1-net=10.40.4.153,,gti-r02-oscompute-15,4,32G
DDB-Staging,86f94d40-8805-4642-b672-0fb26062c9f7,briapi-lb-edb-staging-1,ACTIVE,,Prod-Net=172.18.221.62; briapi-database-1-net=10.40.4.208,,gti-r02-oscompute-15,8,16G
DDB-Staging,54802465-6679-4906-8576-7d1b441ddf95,klasterku-db-mysql-3,ACTIVE,,klasterku-database-network=10.40.13.124,,gti-r02-oscompute-15,2,4G
DDB-Staging,69b949a0-be01-4305-a985-89785dfc590a,klasterku-db-redis-2,ACTIVE,,klasterku-database-network=10.40.13.32,,gti-r02-oscompute-15,2,4G
DDB-Staging,2d180343-b966-4a74-8380-eec9fee13267,k8s-load_balancer_ingress-01,ACTIVE,,devops-backend-1-net=10.40.1.183,,gti-r02-oscompute-15,8,16G
DDB-Staging,7d7f388a-7cbd-4323-ab4b-798ca9d10b5c,briapi-db-edb-staging-1,ACTIVE,,Prod-Net=172.18.221.59; briapi-database-1-net=10.40.4.19,,gti-r02-oscompute-16,8,32G
DDB-Staging,c9eb2e00-9e0e-46e8-9f3a-02f584642d92,sabrina-webchatbot-stg-2,ACTIVE,,"sabrina-frontend-1-net=10.40.17.85, 172.18.221.117",,gti-r02-oscompute-16,2,4G
DDB-Staging,76fd750f-2008-4bf7-9109-bea598f17d73,briguna-redis-staging-2,ACTIVE,,ceria-database-1-net=10.40.10.180,,gti-r02-oscompute-16,2,4G
