Project|ID|Name|Status|Power State|Networks|Flavor Name|Host|CPU|RAM
admin|f8d81d51-9c81-499e-9acb-7edac0d2974c|test-resize|ACTIVE|Running|admin-net-prod=192.168.100.68|n2-highcpu-4-1s|odc-r09-oscompute-03|4|4G
admin|f1f8db92-32e2-4254-b78d-b46eb7b5dcd2|test-resize-2|ACTIVE|Running|admin-net-prod=192.168.100.146|n2-highcpu-8-1s|odc-r08-oscompute-22|8|8G
ddb|1421dc50-ee8e-4826-abe3-a34cca654892|odc-ops-ceria-ms-modalkerja-workflow-prd-db-02|ACTIVE|Running|Prod_Network=172.28.216.67|c2-standard-4-1s|odc-r09-oscompute-11|4|8G
ddb|7e3f5d6f-5422-4e95-a996-e96dba45252f|odc-ops-ceria-ms-modalkerja-workflow-prd-db-01|ACTIVE|Running|Prod_Network=172.28.216.65|c2-standard-4-1s|odc-r09-oscompute-03|4|8G
ddb|516360db-15b2-4c69-94f2-10ad95239f80|odc-ops-ceria-ms-modalkerja-workflow-prd-redis-02|ACTIVE|Running|Prod_Network=172.28.216.60|c2-standard-4-1s|odc-r07-oscompute-33|4|8G
ddb|79b4ee05-6aa2-49e1-9c18-52f89546fb0e|odc-ops-ceria-ms-modalkerja-workflow-prd-redis-01|ACTIVE|Running|Prod_Network=172.28.216.59|c2-standard-4-1s|odc-r09-oscompute-11|4|8G
admin|a04f1da7-f024-44e2-a29e-3976e0f541c3|btech-reporting|ACTIVE|Running|admin-net-prod=192.168.100.109, 172.28.217.110|test-flavor-golden|odc-r08-oscompute-17|2|2G
admin|9fab9e45-f0c8-4842-ba73-5f45c5563302|btech-backup-db-openstack-to-rubrik|ACTIVE|Running|admin-net-prod=192.168.100.23, 172.28.217.81|n2-highcpu-2-1s|odc-r09-oscompute-07|2|2G
ddb|ea7aaddd-cdf7-4b91-8ee2-38133dd5d19f|briapi-apigee-msg_processor-sandbox-1|ACTIVE|Running|Prod_Network=172.28.216.42|c2-standard-16-1s|odc-r07-oscompute-31|16|32G
ddb|de82b3bf-ca02-48af-86e6-8eb99a2d3f42|briapi-apigee-msg_processor-sandbox-2|ACTIVE|Running|Prod_Network=172.28.216.214|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|c13e14e4-5856-4117-bc27-6681ea2fbdd8|briapi-apigee-postgresql-sandbox-1|ACTIVE|Running|Prod_Network=172.28.216.10|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|4bc20dcc-926e-428e-a32d-feea2a9a594b|briapi-apigee-cassandra-sandbox-2|ACTIVE|Running|Prod_Network=172.28.216.99|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|8557f94e-0c1b-4d2a-87e1-e6447838cb4a|briapi-apigee-cassandra-sandbox-3|ACTIVE|Running|Prod_Network=172.28.216.115|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|c175941b-d960-49bb-bc72-024f49581c77|briapi-apigee-qpid-sandbox-1|ACTIVE|Running|Prod_Network=172.28.216.8|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|d96fcda2-efbc-4848-a12f-37af920d13b5|briapi-apigee-qpid-sandbox-2|ACTIVE|Running|Prod_Network=172.28.216.165|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|05530377-2978-446b-a2e6-1631f005df4d|briapi-apigee-cassandra-sandbox-1|ACTIVE|Running|Prod_Network=172.28.216.114|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
ddb|7db15541-9ed2-4eb3-b7a1-b73b9a79eddf|briapi-apigee-devportal-sandbox-1|ACTIVE|Running|Prod_Network=172.28.216.119|c2-standard-16-1s|odc-r08-oscompute-21|16|32G
admin|b73800ba-4e5f-445a-8ade-471bbbd58c5f|repo-php|ACTIVE|Running|Prod_Network=172.28.217.33|c2-standard-2-1s|odc-r08-oscompute-19|2|4G
ddb-development|af45f556-f636-4649-97b0-0375c166bd5b|rgn-ops-briapi-dev-ms-briapi-snap-get-rsa-key-db-01|ACTIVE|Running|Dev_Network=172.28.228.132|c2-standard-4-1s|odc-r08-oscompute-16|4|8G
ddb-development|5121a120-7f70-482e-9e0e-d9c36a32d651|biteg-minio-kube|ACTIVE|Running|ddb-dev-ebpf-net=10.0.1.160, 172.28.224.202|c2-standard-8-1s|odc-r08-oscompute-19|8|16G
admin|eba3b0b4-44e9-4332-bb6c-3f00f81b2d03|test-apigee-repo-client|ACTIVE|Running|Prod_Network=172.28.216.166|c2-standard-0-1-copy|odc-r08-oscompute-19|1|1G
admin|c7cffced-42db-443a-a36e-beb65670aef0|test_repo|ACTIVE|Running|Prod_Network=172.28.216.107; replikasi-cloudera-network=172.28.120.123|test-flavor-golden|odc-r08-oscompute-20|2|2G
admin|5ebf85e9-82cc-49c9-b026-8ffe0ef143b1|apigee-repo|ACTIVE|Running|Prod_Network=172.28.216.177|c2-standard-2-1s|odc-r08-oscompute-21|2|4G
admin|d6fc1cea-01f5-4c9d-88e2-11822c64078a|grafanaXprometheus|ACTIVE|Running|admin-net-prod=192.168.100.188, 172.28.216.11|n2-highcpu-16-1s|odc-r08-oscompute-18|16|16G
ddb|1c72eef0-6e88-40f1-ba21-0b4cb6c36688|devops-Minio-prd-4|ACTIVE|Running|Prod_Network=172.28.216.44|n2-standard-4-1s|odc-r07-oscompute-33|4|16G
ddb|4ff0d533-d289-4dab-8730-356dc2b80c17|devops-Minio-prd-3|ACTIVE|Running|Prod_Network=172.28.216.40|n2-standard-4-1s|odc-r09-oscompute-11|4|16G
ddb|6632cab0-a038-44cf-85bc-91b7d6e7ac7b|devops-Minio-prd-2|ACTIVE|Running|Prod_Network=172.28.216.38|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
ddb|ed405b0e-c35d-447b-a5e4-8c006769b493|devops-Minio-prd-1|ACTIVE|Running|Prod_Network=172.28.216.37|n2-standard-4-1s|odc-r09-oscompute-11|4|16G
ddb|f3f8d5bb-1440-4e44-9df7-81b1898f6423|umi-db-mongo-3|ACTIVE|Running|Prod_Network=172.28.216.35|c2-standard-8-1s|odc-r09-oscompute-11|8|16G
ddb|8d315336-0afe-42a6-8a77-113b1173a869|umi-db-mongo-2|ACTIVE|Running|Prod_Network=172.28.216.34|c2-standard-8-1s|odc-r08-oscompute-15|8|16G
ddb|df755b3c-7bd9-4fe8-8c1c-afd93604a540|umi-db-mongo-1|ACTIVE|Running|Prod_Network=172.28.216.32|c2-standard-8-1s|odc-r07-oscompute-33|8|16G
ddb|76a5cc90-0b82-4fec-9947-7740d2e6938e|db-umi-postgresql-prd-3|ACTIVE|Running|Prod_Network=172.28.216.29|c2-standard-8-1s|odc-r07-oscompute-33|8|16G
ddb|7a7565e6-1aad-4964-99bb-0f5f1dac4d37|db-umi-postgresql-prd-2|ACTIVE|Running|Prod_Network=172.28.216.28|c2-standard-8-1s|odc-r06-oscompute-37|8|16G
ddb|47fb757b-0276-4a91-b82a-b1d440ef3896|db-umi-postgresql-prd-1|ACTIVE|Running|Prod_Network=172.28.216.27|c2-standard-8-1s|odc-r06-oscompute-37|8|16G
ddb|ec1ede89-3ce2-41e5-9538-ac2b2765533e|senyum-mobile-db-psql-prd-2|ACTIVE|Running|Prod_Network=172.28.216.26|c2-standard-8-1s|odc-r08-oscompute-17|8|16G
ddb|8da40505-b352-44f1-a135-79c9c4ad6548|senyum-mobile-db-psql-prd-1|ACTIVE|Running|Prod_Network=172.28.216.12|c2-standard-16-1s|odc-r08-oscompute-17|16|32G
edm|11c0f5f8-8e08-498a-914f-6a701f51bdeb|cloudera-utility-node-1|ACTIVE|Running|Cloudera_Network=10.148.0.145, 172.28.218.181; internal-replikasi-cloudera-net=10.50.0.182, 172.28.120.43|n2-highmem-16|odc-r06-oscompute-42|16|128G
ddb|81a94034-73ca-4d0d-a55e-08b3716cd6cd|redis-umi-worker-1|ACTIVE|Running|Prod_Network=172.28.216.20|c2-standard-4-1s|odc-r07-oscompute-31|4|8G
ddb|bde0ef94-f305-48e2-a912-552b90c52761|redis-umi-master-1|ACTIVE|Running|Prod_Network=172.28.216.19|c2-standard-4-1s|odc-r06-oscompute-40|4|8G
admin|0e484ae7-4ca0-4114-bd21-26c6bd0e3a2f|iperf-client-ebpf-1|ACTIVE|Running|Dev_Network=172.28.227.163; admin-net-prod=192.168.100.38, 172.28.219.197|n2-highcpu-2-1s|odc-r08-oscompute-18|2|2G
admin|f64917a4-1e10-4a1c-8358-ad9ef2a3be5e|iperf-client-ebpf-2|ACTIVE|Running|Dev_Network=172.28.228.80; admin-net-prod=192.168.100.41, 172.28.218.253|n2-highcpu-2-1s|odc-r06-oscompute-42|2|2G
ddb-staging|e959f921-9524-4950-89cc-49043784db55|odc-k8s-stg-load_balancer_ingress-01|ACTIVE|Running|Prod_Network=172.28.221.25|c2-standard-4-1s|odc-r08-oscompute-18|4|8G
